API call	Permission(s)	Notes		
android.app.ContextImpl$ApplicationContentResolver.getPeriodicSyncs(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.getSyncAutomatically(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.getSyncStatus(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_STATS			
android.app.ContextImpl$ApplicationContentResolver.isSyncActive(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_STATS			
android.app.ContextImpl$ApplicationContentResolver.isSyncPending(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_STATS			
android.app.ContextImpl$ApplicationContentResolver.openFileDescriptor(android.net.Uri,java.lang.String)	android.permission.READ_CONTACTS			
android.app.ContextImpl$ApplicationContentResolver.openInputStream(android.net.Uri)	android.permission.READ_CONTACTS			
android.app.ContextImpl$ApplicationContentResolver.openOutputStream(android.net.Uri)	android.permission.READ_CONTACTS			
android.app.ContextImpl$ApplicationContentResolver.query(android.net.Uri,[Ljava.lang.String;,java.lang.String,[Ljava.lang.String;,java.lang.String)	android.permission.READ_CONTACTS			
android.app.ContextImpl$ApplicationContentResolver.removePeriodicSync(android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.WRITE_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.setIsSyncable(android.accounts.Account,java.lang.String,int)	android.permission.WRITE_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.setMasterSyncAutomatically(boolean)	android.permission.WRITE_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.setSyncAutomatically(android.accounts.Account,java.lang.String,boolean)	android.permission.WRITE_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationPackageManager.addPreferredActivity(IntentFilter,int,ComponentName[],ComponentName)	android.permission.SET_PREFERRED_APPLICATIONS			
android.app.ContextImpl$ApplicationPackageManager.clearApplicationUserData(String,IPackageDataObserver)	android.permission.CLEAR_APP_USER_DATA			
android.app.ContextImpl$ApplicationPackageManager.clearPackagePreferredActivities(String)	android.permission.SET_PREFERRED_APPLICATIONS			
android.app.ContextImpl$ApplicationPackageManager.deleteApplicationCacheFiles(String,IPackageDataObserver)	android.permission.DELETE_CACHE_FILES			
android.app.ContextImpl$ApplicationPackageManager.deletePackage(String,IPackageDeleteObserver,int)	android.permission.DELETE_PACKAGES			
android.app.ContextImpl$ApplicationPackageManager.freeStorage(long,IntentSender)	android.permission.CLEAR_APP_CACHE			
android.app.ContextImpl$ApplicationPackageManager.freeStorageAndNotify(long,IPackageDataObserver)	android.permission.CLEAR_APP_CACHE			
android.app.ContextImpl$ApplicationPackageManager.getPackageSizeInfo(String,IPackageStatsObserver)	android.permission.GET_PACKAGE_SIZE			
android.app.ContextImpl$ApplicationPackageManager.installPackage(Uri,IPackageInstallObserver,int,String)	android.permission.INSTALL_PACKAGES			
android.app.ContextImpl$ApplicationPackageManager.movePackage(String,IPackageMoveObserver,int)	android.permission.MOVE_PACKAGE			
android.app.ContextImpl$ApplicationPackageManager.replacePreferredActivity(IntentFilter,int,ComponentName[],ComponentName)	android.permission.SET_PREFERRED_APPLICATIONS			
android.app.ContextImpl$ApplicationPackageManager.setApplicationEnabledSetting(String,int,int)	android.permission.CHANGE_COMPONENT_ENABLED_STATE			
android.app.ContextImpl$ApplicationPackageManager.setComponentEnabledSetting(ComponentName,int,int)	android.permission.CHANGE_COMPONENT_ENABLED_STATE			
android.app.ExpandableListActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.ExpandableListActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ExpandableListActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ExpandableListActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.ExpandableListActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.ExpandableListActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.ExpandableListActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.FullBackupAgent.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.FullBackupAgent.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.FullBackupAgent.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.FullBackupAgent.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.FullBackupAgent.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.FullBackupAgent.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.IActivityManager$Stub$Proxy.bindBackupAgent(android.content.pm.ApplicationInfo,int)	android.permission.BACKUP			
android.app.IActivityManager$Stub$Proxy.clearApplicationUserData(java.lang.String,android.content.pm.IPackageDataObserver)	android.permission.CLEAR_APP_USER_DATA			
android.app.IActivityManager$Stub$Proxy.forceStopPackage(java.lang.String)	android.permission.FORCE_STOP_PACKAGES			
android.app.IActivityManager$Stub$Proxy.getRecentTasks(int,int)	android.permission.GET_TASKS			
android.app.IActivityManager$Stub$Proxy.getTasks(int,int,android.app.IThumbnailReceiver)	android.permission.GET_TASKS			
android.app.IActivityManager$Stub$Proxy.killBackgroundProcesses(java.lang.String)	android.permission.KILL_BACKGROUND_PROCESSES or android.permission.RESTART_PACKAGES			
android.app.IActivityManager$Stub$Proxy.moveTaskBackwards(int)	android.permission.REORDER_TASKS			
android.app.IActivityManager$Stub$Proxy.moveTaskToBack(int)	android.permission.REORDER_TASKS			
android.app.IActivityManager$Stub$Proxy.moveTaskToFront(int)	android.permission.REORDER_TASKS			
android.app.IActivityManager$Stub$Proxy.profileControl(java.lang.String,boolean,java.lang.String,android.os.ParcelFileDescriptor)	android.permission.SET_ACTIVITY_WATCHER			
android.app.IActivityManager$Stub$Proxy.resumeAppSwitches()	android.permission.STOP_APP_SWITCHES			
android.app.IActivityManager$Stub$Proxy.setActivityController(android.app.IActivityController)	android.permission.SET_ACTIVITY_WATCHER			
android.app.IActivityManager$Stub$Proxy.setAlwaysFinish(boolean)	android.permission.SET_ALWAYS_FINISH			
android.app.IActivityManager$Stub$Proxy.setDebugApp(java.lang.String,boolean,boolean)	android.permission.SET_DEBUG_APP			
android.app.IActivityManager$Stub$Proxy.setPersistent(android.os.IBinder,boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.IActivityManager$Stub$Proxy.setProcessForeground(android.os.IBinder,int,boolean)	android.permission.SET_PROCESS_LIMIT			
android.app.IActivityManager$Stub$Proxy.setProcessLimit(int)	android.permission.SET_PROCESS_LIMIT			
android.app.IActivityManager$Stub$Proxy.shutdown(int)	android.permission.SHUTDOWN			
android.app.IActivityManager$Stub$Proxy.signalPersistentProcesses(int)	android.permission.SIGNAL_PERSISTENT_PROCESSES			
android.app.IActivityManager$Stub$Proxy.stopAppSwitches()	android.permission.STOP_APP_SWITCHES			
android.app.IActivityManager$Stub$Proxy.unbroadcastIntent(android.app.IApplicationThread,android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.IActivityManager$Stub$Proxy.unhandledBack(int)	android.permission.FORCE_BACK			
android.app.IActivityManager$Stub$Proxy.updateConfiguration(android.content.res.Configuration)	android.permission.CHANGE_CONFIGURATION			
android.app.IAlarmManager$Stub$Proxy.setTime(long)	android.permission.SET_TIME			
android.app.IAlarmManager$Stub$Proxy.setTimeZone(java.lang.String)	android.permission.SET_TIME_ZONE			
android.app.Instrumentation.invokeContextMenuAction(android.app.Activity,int,int)	android.permission.INJECT_EVENTS			
android.app.Instrumentation.sendCharacterSync(int)	android.permission.INJECT_EVENTS			
android.app.Instrumentation.sendKeyDownUpSync(int)	android.permission.INJECT_EVENTS			
android.app.Instrumentation.sendKeySync(android.view.KeyEvent)	android.permission.INJECT_EVENTS
android.app.Instrumentation.sendPointerSync(android.view.MotionEvent)	android.permission.INJECT_EVENTS			
android.app.Instrumentation.sendStringSync(java.lang.String)	android.permission.INJECT_EVENTS
android.app.Instrumentation.sendTrackballEventSync(android.view.MotionEvent)	android.permission.INJECT_EVENTS			
android.app.IntentService.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.IntentService.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	An additional permission check depends on the Intent; see the Intent permissions section.		
android.app.IntentService.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	An additional permission check depends on the Intent; see the Intent permissions section.		
android.app.IntentService.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.IntentService.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.IntentService.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.IStatusBar$Stub$Proxy.activate()	android.permission.EXPAND_STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.addIcon(java.lang.String,java.lang.String,int,int)	android.permission.STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.deactivate()	android.permission.EXPAND_STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.disable(int,android.os.IBinder,java.lang.String)	android.permission.STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.removeIcon(android.os.IBinder)	android.permission.STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.toggle()	android.permission.EXPAND_STATUS_BAR			
android.app.IStatusBar$Stub$Proxy.updateIcon(android.os.IBinder,java.lang.String,java.lang.String,int,int)	android.permission.STATUS_BAR			
android.app.IWallpaperManager$Stub$Proxy.setDimensionHints(int,int)	android.permission.SET_WALLPAPER_HINTS			
android.app.IWallpaperManager$Stub$Proxy.setWallpaper(java.lang.String)	android.permission.SET_WALLPAPER			
android.app.IWallpaperManager$Stub$Proxy.setWallpaperComponent(android.content.ComponentName)	android.permission.SET_WALLPAPER_COMPONENT			
android.app.KeyguardManager.exitKeyguardSecurely(android.app.KeyguardManager$OnKeyguardExitResult)	android.permission.DISABLE_KEYGUARD			
android.app.KeyguardManager$KeyguardLock.disableKeyguard()	android.permission.DISABLE_KEYGUARD			
android.app.KeyguardManager$KeyguardLock.reenableKeyguard()	android.permission.DISABLE_KEYGUARD			
android.app.ListActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.ListActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ListActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ListActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.ListActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.ListActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.ListActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.NotificationManager.notify(int,android.app.Notification)	android.permission.VIBRATE or NONE	Permission only required if you've set the Notification.vibrate field for the Notification parameter.		
android.app.NotificationManager.notify(java.lang.String,int,android.app.Notification)	android.permission.VIBRATE or NONE	Permission only required if you've set the Notification.vibrate field for the Notification parameter.		
android.app.Service.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.Service.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.Service.sendBroadcast(android.content.Intent)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Service.sendOrderedBroadcast(android.content.Intent,java.lang.String)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Service.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.Service.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.Service.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.Service.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.Service.startActivity(android.content.Intent)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Service.startService(android.content.Intent)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.StatusBarManager.addIcon(java.lang.String,int,int)	android.permission.STATUS_BAR			
android.app.StatusBarManager.collapse()	android.permission.EXPAND_STATUS_BAR			
android.app.StatusBarManager.disable(int)	android.permission.STATUS_BAR			
android.app.StatusBarManager.expand()	android.permission.EXPAND_STATUS_BAR			
android.app.StatusBarManager.removeIcon(android.os.IBinder)	android.permission.STATUS_BAR			
android.app.StatusBarManager.toggle()	android.permission.EXPAND_STATUS_BAR			
android.app.StatusBarManager.updateIcon(android.os.IBinder,java.lang.String,int,int)	android.permission.STATUS_BAR			
android.app.TabActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.TabActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.TabActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.TabActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.TabActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.TabActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.TabActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.WallpaperManager.clear()	android.permission.SET_WALLPAPER			
android.app.WallpaperManager.setBitmap(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.WallpaperManager.setResource(int)	android.permission.SET_WALLPAPER			
android.app.WallpaperManager.setStream(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.WallpaperManager.suggestDesiredDimensions(int,int)	android.permission.SET_WALLPAPER_HINTS			
android.appwidget.AppWidgetManager.bindAppWidgetId(int,android.content.ComponentName)	android.permission.BIND_APPWIDGET			
android.bluetooth.BluetoothA2dp.connectSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN AND android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.disconnectSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN AND android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.getConnectedSinks()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.getNonDisconnectedSinks()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.getSinkPriority(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.getSinkState(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.isSinkConnected(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothA2dp.resumeSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothA2dp.setSinkPriority(android.bluetooth.BluetoothDevice,int)	android.permission.BLUETOOTH_ADMIN AND android.permission.WRITE_SETTINGS AND android.permission.WRITE_SECURE_SETTINGS			
android.bluetooth.BluetoothA2dp.suspendSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothAdapter.cancelDiscovery()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothAdapter.disable()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothAdapter.enable()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothAdapter.getAddress()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.getBondedDevices()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.getDiscoverableTimeout()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.getName()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.getScanMode()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.getState()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.isDiscovering()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.isEnabled()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.listenUsingRfcommWithServiceRecord(java.lang.String,java.util.UUID)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.setDiscoverableTimeout(int)	android.permission.BLUETOOTH_ADMIN and android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.setName(java.lang.String)	android.permission.BLUETOOTH_ADMIN and android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.setScanMode(int,int)	android.permission.WRITE_SECURE_SETTINGS and android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.setScanMode(int)	android.permission.WRITE_SECURE_SETTINGS and android.permission.BLUETOOTH			
android.bluetooth.BluetoothAdapter.startDiscovery()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.cancelBondProcess()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.cancelPairingUserInput()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.createBond()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.createRfcommSocketToServiceRecord(java.util.UUID)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.fetchUuidsWithSdp()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.getBondState()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.getName()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.getServiceChannel(android.os.ParcelUuid)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.getUuids()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothDevice.removeBond()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.setPairingConfirmation(boolean)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.setPasskey(int)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothDevice.setPin([B)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothHeadset.connectHeadset(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothHeadset.disconnectHeadset()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothHeadset.getBatteryUsageHint()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.getCurrentHeadset()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.getPriority(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.getState()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.isConnected(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.setPriority(android.bluetooth.BluetoothDevice,int)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothHeadset.startVoiceRecognition()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothHeadset.stopVoiceRecognition()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothPbap.disconnect()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.BluetoothPbap.getClient()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothPbap.getState()	android.permission.BLUETOOTH			
android.bluetooth.BluetoothPbap.isConnected(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.BluetoothSocket.connect()	android.permission.BLUETOOTH			
android.bluetooth.HeadsetBase.acquireWakeLock()	android.permission.WAKE_LOCK			
android.bluetooth.HeadsetBase.finalize()	android.permission.WAKE_LOCK			
android.bluetooth.HeadsetBase.handleInput(java.lang.String)	android.permission.WAKE_LOCK			
android.bluetooth.HeadsetBase.releaseWakeLock()	android.permission.WAKE_LOCK			
android.bluetooth.IBluetooth$Stub$Proxy.addRfcommServiceRecord(java.lang.String,android.os.ParcelUuid,int,android.os.IBinder)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.cancelBondProcess(java.lang.String)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.cancelDiscovery()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.cancelPairingUserInput(java.lang.String)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.createBond(java.lang.String)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.disable(boolean)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.enable()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.fetchRemoteUuids(java.lang.String,android.os.ParcelUuid,android.bluetooth.IBluetoothCallback)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getAddress()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getBluetoothState()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getBondState(java.lang.String)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getDiscoverableTimeout()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getName()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getRemoteClass(java.lang.String)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getRemoteName(java.lang.String)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getRemoteServiceChannel(java.lang.String,android.os.ParcelUuid)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getRemoteUuids(java.lang.String)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getScanMode()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.getTrustState(java.lang.String)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.isDiscovering()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.isEnabled()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.listBonds()	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.removeBond(java.lang.String)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.removeServiceRecord(int)	android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.setDiscoverableTimeout(int)	android.permission.BLUETOOTH_ADMIN and android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.setName(java.lang.String)	android.permission.BLUETOOTH_ADMIN and android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.setPairingConfirmation(java.lang.String,boolean)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.setPasskey(java.lang.String,int)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.setPin(java.lang.String,[B)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.setScanMode(int,int)	android.permission.WRITE_SECURE_SETTINGS and android.permission.BLUETOOTH			
android.bluetooth.IBluetooth$Stub$Proxy.setTrust(java.lang.String,boolean)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetooth$Stub$Proxy.startDiscovery()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.connectSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN AND android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.disconnectSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN AND android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.getConnectedSinks()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.getNonDisconnectedSinks()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.getSinkPriority(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.getSinkState(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.resumeSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN and android.permission.BLUETOOTH and android.permission.MODIFY_AUDIO_SETTINGS			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.setSinkPriority(android.bluetooth.BluetoothDevice,int)	android.permission.BLUETOOTH_ADMIN AND android.permission.WRITE_SETTINGS			
android.bluetooth.IBluetoothA2dp$Stub$Proxy.suspendSink(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN AND android.permission.BLUETOOTH AND android.permission.MODIFY_AUDIO_SETTINGS			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.connectHeadset(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.disconnectHeadset()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.getBatteryUsageHint()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.getCurrentHeadset()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.getPriority(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.getState()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.isConnected(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.setPriority(android.bluetooth.BluetoothDevice,int)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.startVoiceRecognition()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothHeadset$Stub$Proxy.stopVoiceRecognition()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothPbap$Stub$Proxy.connect(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothPbap$Stub$Proxy.disconnect()	android.permission.BLUETOOTH_ADMIN			
android.bluetooth.IBluetoothPbap$Stub$Proxy.getClient()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothPbap$Stub$Proxy.getState()	android.permission.BLUETOOTH			
android.bluetooth.IBluetoothPbap$Stub$Proxy.isConnected(android.bluetooth.BluetoothDevice)	android.permission.BLUETOOTH			
android.bluetooth.ScoSocket.acquireWakeLock()	android.permission.WAKE_LOCK			
android.bluetooth.ScoSocket.close()	android.permission.WAKE_LOCK			
android.bluetooth.ScoSocket.finalize()	android.permission.WAKE_LOCK			
android.bluetooth.ScoSocket.releaseWakeLock()	android.permission.WAKE_LOCK			
android.bluetooth.ScoSocket.releaseWakeLockNow()	android.permission.WAKE_LOCK			
android.content.ContentResolver.addPeriodicSync(android.accounts.Account,java.lang.String,android.os.Bundle,long)	android.permission.WRITE_SYNC_SETTINGS			
android.content.ContentResolver.getCurrentSync()	android.permission.READ_SYNC_STATS			
